"filename", "language", "JSON", "Markdown", "Plain Text (PDF)", "Python", "comment", "blank", "total"
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ml_normalised_tweets.pdf", "Plain Text (PDF)", 0, 0, 212, 0, 197, 2, 411
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ml_peak_1.pdf", "Plain Text (PDF)", 0, 0, 2079, 0, 1283, 73, 3435
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ml_peak_2.pdf", "Plain Text (PDF)", 0, 0, 1532, 0, 1747, 52, 3331
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ml_sentiment.pdf", "Plain Text (PDF)", 0, 0, 236, 0, 0, 2, 238
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ml_sentiment_prob.pdf", "Plain Text (PDF)", 0, 0, 256, 0, 0, 3, 259
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ml_shift.pdf", "Plain Text (PDF)", 0, 0, 210, 0, 0, 2, 212
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ml_trend_1a.pdf", "Plain Text (PDF)", 0, 0, 176, 0, 0, 1, 177
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ml_trend_1b.pdf", "Plain Text (PDF)", 0, 0, 129, 0, 0, 1, 130
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ml_trend_2a.pdf", "Plain Text (PDF)", 0, 0, 152, 0, 0, 1, 153
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ml_trend_2b.pdf", "Plain Text (PDF)", 0, 0, 141, 0, 0, 2, 143
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ml_trough.pdf", "Plain Text (PDF)", 0, 0, 2530, 0, 547, 55, 3132
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ml_validation.pdf", "Plain Text (PDF)", 0, 0, 151, 0, 0, 1, 152
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ml_word_occurrence.pdf", "Plain Text (PDF)", 0, 0, 28, 0, 204, 0, 232
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/ml_word_occurrence_log.pdf", "Plain Text (PDF)", 0, 0, 289, 0, 0, 1, 290
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/mnb_consfusion.pdf", "Plain Text (PDF)", 0, 0, 93, 0, 113, 1, 207
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/mnb_sentiment.pdf", "Plain Text (PDF)", 0, 0, 237, 0, 0, 2, 239
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/mnb_sentiment_change.pdf", "Plain Text (PDF)", 0, 0, 250, 0, 0, 4, 254
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/neg_sentiment_count.pdf", "Plain Text (PDF)", 0, 0, 196, 0, 0, 2, 198
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/neg_vs_positive.pdf", "Plain Text (PDF)", 0, 0, 2794, 0, 404, 6, 3204
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/neghmean_vs_poshmean.pdf", "Plain Text (PDF)", 0, 0, 894, 0, 9508, 3, 10405
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/normcdf_hmean.pdf", "Plain Text (PDF)", 0, 0, 7361, 0, 8178, 6, 15545
"/Users/connormcdonald/Desktop/Masters/MIT807/Gartner Repository/Analysis/Figures/raw_papers.pdf", "Plain Text (PDF)", 0, 0, 127, 0, 0, 1, 128
